GROUP NAME,FLAG ABBR,FLAG NAME,FLAG DESCRIPTION,FLAG PENALTY__
Billing Hygiene,BB,Block Billing,Lumping or aggregation of multiple tasks into a single narrative entry with a sum total of time instead of listing each task and the precise related time.,27.50%
Billing Hygiene,CI,Communication Inspecificity,Outside counsel's time entries regarding electronic or telephonic communications should identify the subject matter of the communication and name the counterparty to it.,15.00%
Billing Hygiene,CMC,Cross Matter Churning,Timekeeper records time for handling substantially the same task in the same time frame in two or more separate matters or invoices.,33.33%
Billing Hygiene,CMHM,Cross Matter Hourly Maximum,TK bills more than 8 hours in a day spread across more than 1 invoice,25.00%
Billing Hygiene,DC,Duplicative Charge,The identical line item charge appears twice in the same invoice.,99.99%
Billing Hygiene,DT,Delinquent Time,All line item time entries should be dated within 61 days of the invoice date.,0.00%
Billing Hygiene,ETD,Embedded Time Discrepancy,Discrepancies found with time notations embedded in line narratives.,50.00%
Billing Hygiene,ETD-OB,Embedded Time Discrepancy - Over Billing,The hours billed for the line is greater than the total of embedded time in the narrative.,50.00%
Billing Hygiene,ETD-UB,Embedded Time Discrepancy - Under Billing,The hours billed for the line is less than the total of embedded time in the narrative.,50.00%
Billing Hygiene,HM,Hourly Maximum,Timekeepers efficiency levels decrease when working in excess of 8 hours per day.,25.00%
Billing Hygiene,IB,Increment Billing,"Tasks are separated and recorded in multiple time entries in one-tenth hour increments where task is unlikely to take 6 minutes (e.g., left voice message for client, reviewed three sentence e-mail)",40.00%
Billing Hygiene,IPT,Indistinguishable Prep Time,"Timekeeper combines ""preparation time and participation time"" without specifying the type of preparatory task has been undertaken or time expended for it (e.g., prepare for and participate in all-hands conference call). Inflates time recorded for primary activity undertaken.",30.00%
Billing Hygiene,MBI,Minimum Billing Increment,Time entries should be recorded in 1/10th hour increments.,20.00%
Billing Hygiene,NBD,Non-Business Day Entry,Tasks completed on holidays/weekends often completed less efficiently,20.00%
Billing Hygiene,NC,No Charge,"Identifies tasks usually undertaken by outside counsel as a client courtesy or law firm marketing activities (audit response letter, delivery of newsletters/client alerts, attendance at routine board meeting).",90.00%
Billing Hygiene,OV,Overly Verbose,Timekeeper disguises simplicity of task undertaken by writing lengthy narrative,40.00%
Billing Hygiene,RC,Rate Change,Identifies an unauthorized change in hourly rate.,10.00%
Billing Hygiene,RH,Round Hour,"Timekeeper bills in round hour increments (1.0, 2.0, etc) with a statistically improbable frequency.",12.50%
Billing Hygiene,RN,Repeated Narrative,Narrative is repeated verbatim,5.00%
